SNP,Chr,Pos,P.value,MAF,effect,nobs,H&B.P.Value
BOPA1_946_2500,2,54.2,0.141729419520289,0.154166666666667,-0.493006336973666,120,0.449624365374711
SCRI_RS_144592,2,54.2,0.141729419520289,0.154166666666667,-0.493006336973666,120,0.449624365374711
SCRI_RS_170235,2,56.2,0.34421518013757,0.141666666666667,-0.327472154659101,120,0.719722649378555
SCRI_RS_240011,2,56.2,0.193599033884392,0.145833333333333,-0.447812779762719,120,0.523856209334238
SCRI_RS_185710,2,58.1,0.123197113640222,0.15,-0.51881317378583,120,0.4359282482654
BOPA1_4136_869,2,60.7,0.338883484020469,0.129166666666667,-0.3418560063186,120,0.719722649378555
BOPA1_6911_866,2,60.7,0.232338360549454,0.145833333333333,-0.40409503906401,120,0.562503399224995
BOPA1_2284_1738,2,62.7,0.224133432006685,0.145833333333333,-0.420661422122077,120,0.55730474985446
BOPA1_4434_804,2,62.7,0.110488616919067,0.154166666666667,-0.536697896533868,120,0.406598110262165
SCRI_RS_153531,2,62.7,0.244088252189791,0.129166666666667,-0.424620145897124,120,0.575797928242584
SCRI_RS_167713,2,62.7,0.224133432006685,0.145833333333333,-0.420661422122077,120,0.55730474985446
BOPA1_7187_382,2,64.9,0.801899279452955,0.116666666666667,-0.0963924116822314,120,0.878270639400855
BOPA1_7660_476,2,64.9,0.801899279452955,0.116666666666667,-0.0963924116822314,120,0.878270639400855
BOPA2_12_10719,2,64.9,0.801899279452955,0.116666666666667,-0.0963924116822314,120,0.878270639400855
BOPA2_12_31383,2,64.9,0.545970963113767,0.116666666666667,-0.231834342420572,120,0.845428744446177
SCRI_RS_110043,2,64.9,0.801899279452955,0.116666666666667,-0.0963924116822314,120,0.878270639400855
BOPA1_4037_916,2,66.3,0.521812664360912,0.1625,-0.231329140448207,120,0.845428744446177
SCRI_RS_9469,2,68.1,0.545970963113767,0.116666666666667,-0.231834342420572,120,0.845428744446177
SCRI_RS_133539,2,74.2,0.929403188893698,0.104166666666667,-0.0363203256909115,120,0.950056593091336
SCRI_RS_200291,2,76.1,0.856558163864344,0.108333333333333,0.0741563975210997,120,0.885430910960895
BOPA2_12_30897,2,80,0.854852135448943,0.1125,0.0743346568164103,120,0.885430910960895
SCRI_RS_196853,2,80,0.854852135448943,0.1125,0.0743346568164103,120,0.885430910960895
SCRI_RS_88704,2,80,0.854852135448943,0.1125,0.0743346568164103,120,0.885430910960895
BOPA1_8632_1809,2,82.5,0.679697494328495,0.104166666666667,-0.17372451127405,120,0.845428744446177
SCRI_RS_119261,2,82.5,0.405411509095233,0.0958333333333333,-0.353473786043552,120,0.828841307483588
SCRI_RS_155456,2,82.5,0.679697494328495,0.104166666666667,-0.17372451127405,120,0.845428744446177
SCRI_RS_157236,2,82.5,0.679697494328495,0.104166666666667,-0.17372451127405,120,0.845428744446177
SCRI_RS_176114,2,82.5,0.679697494328495,0.104166666666667,-0.17372451127405,120,0.845428744446177
SCRI_RS_182039,2,82.5,0.679697494328495,0.104166666666667,-0.17372451127405,120,0.845428744446177
SCRI_RS_211894,2,82.5,0.679697494328495,0.104166666666667,-0.17372451127405,120,0.845428744446177
SCRI_RS_237481,2,82.5,0.679697494328495,0.104166666666667,-0.17372451127405,120,0.845428744446177
BOPA1_11591_265,2,88.5,0.715189670379282,0.0875,0.16822115377665,120,0.845428744446177
SCRI_RS_129223,2,88.5,0.715189670379282,0.0875,0.16822115377665,120,0.845428744446177
SCRI_RS_135112,2,88.5,0.715189670379282,0.0875,0.16822115377665,120,0.845428744446177
SCRI_RS_144778,2,88.5,0.715189670379282,0.0875,0.16822115377665,120,0.845428744446177
SCRI_RS_222876,2,88.5,0.715189670379282,0.0875,0.16822115377665,120,0.845428744446177
BOPA1_111_499,2,106.4,0.977012911950199,0.2125,0.00891468170929125,120,0.977012911950199
BOPA1_3180_1771,2,106.4,0.977012911950199,0.2125,0.00891468170929125,120,0.977012911950199
BOPA1_871_462,2,106.4,0.855094708721217,0.204166666666667,-0.0581869589941915,120,0.885430910960895
BOPA1_2464_1228,2,119.8,0.140727962402093,0.366666666666667,-0.380134529830039,120,0.449624365374711
BOPA2_12_30690,2,119.8,0.152045943749038,0.3625,-0.368927963448293,120,0.451233123384242
SCRI_RS_139840,2,119.8,0.152045943749038,0.3625,-0.368927963448293,120,0.451233123384242
SCRI_RS_209551,2,120.7,0.174612067641541,0.370833333333333,-0.344671703873174,120,0.502009694469431
SCRI_RS_142314,2,123.5,0.0637832374026268,0.4,-0.458921978921747,120,0.297475103723157
SCRI_RS_198883,2,123.5,0.109460194917549,0.383333333333333,-0.389163707649355,120,0.406598110262165
SCRI_RS_106163,2,129.7,0.00902069517353154,0.433333333333333,-0.629381460984521,120,0.213939011204234
SCRI_RS_161490,2,132.6,0.0113467620142563,0.420833333333333,-0.615781517764173,120,0.213939011204234
BOPA2_12_10487,2,135.6,0.0234013249599966,0.4125,-0.555937642469563,120,0.213939011204234
BOPA2_12_10950,2,135.6,0.0234013249599966,0.4125,-0.555937642469563,120,0.213939011204234
SCRI_RS_172784,2,135.6,0.0234013249599966,0.4125,-0.555937642469563,120,0.213939011204234
SCRI_RS_204274,2,135.6,0.035426433431975,0.4125,-0.519360471461334,120,0.232802276838693
SCRI_RS_234587,2,135.6,0.0234013249599966,0.4125,-0.555937642469563,120,0.213939011204234
SCRI_RS_44952,2,135.6,0.0224825434255859,0.404166666666667,-0.562108268867302,120,0.213939011204234
SCRI_RS_152664,2,138.6,0.0302305124527722,0.420833333333333,-0.532353987908715,120,0.213939011204234
SCRI_RS_156013,2,138.6,0.0302305124527722,0.420833333333333,-0.532353987908715,120,0.213939011204234
SCRI_RS_174077,2,138.6,0.0302305124527722,0.420833333333333,-0.532353987908715,120,0.213939011204234
SCRI_RS_194653,2,138.6,0.0302305124527722,0.420833333333333,-0.532353987908715,120,0.213939011204234
SCRI_RS_116590,2,140.8,0.0642686008731072,0.3375,-0.464465911887789,120,0.297475103723157
SCRI_RS_172136,2,142.6,0.0622342274032395,0.325,-0.475044729299693,120,0.297475103723157
SCRI_RS_73620,2,142.6,0.0622342274032395,0.325,-0.475044729299693,120,0.297475103723157
SCRI_RS_170209,2,144.4,0.0815509255965965,0.2875,-0.458406398273616,120,0.340985418198837
SCRI_RS_139106,2,146.4,0.630001784613478,0.333333333333333,-0.122860786595081,120,0.845428744446177
SCRI_RS_139115,2,146.4,0.630001784613478,0.333333333333333,-0.122860786595081,120,0.845428744446177
SCRI_RS_142982,2,146.4,0.630001784613478,0.333333333333333,-0.122860786595081,120,0.845428744446177
SCRI_RS_139737,2,148.2,0.711456304711464,0.308333333333333,-0.0974064619308738,120,0.845428744446177
