SNP,Chromosome,Position,DF,t Value,std Error,effect
BOPA1_8632_1809,2,82.5,NA,NA,NA,0.759822749675937
SCRI_RS_119261,2,82.5,NA,NA,NA,0.768638001382753
SCRI_RS_155456,2,82.5,NA,NA,NA,0.759822749675937
SCRI_RS_157236,2,82.5,NA,NA,NA,0.759822749675937
SCRI_RS_176114,2,82.5,NA,NA,NA,0.759822749675937
SCRI_RS_182039,2,82.5,NA,NA,NA,0.759822749675937
SCRI_RS_211894,2,82.5,NA,NA,NA,0.759822749675937
SCRI_RS_237481,2,82.5,NA,NA,NA,0.759822749675937
BOPA1_11591_265,2,88.5,NA,NA,NA,0.759822749675937
SCRI_RS_129223,2,88.5,NA,NA,NA,0.759822749675937
SCRI_RS_135112,2,88.5,NA,NA,NA,0.759822749675937
SCRI_RS_144778,2,88.5,NA,NA,NA,0.759822749675937
SCRI_RS_222876,2,88.5,NA,NA,NA,0.759822749675937
BOPA1_111_499,2,106.4,NA,NA,NA,0.992694323410066
BOPA1_3180_1771,2,106.4,NA,NA,NA,0.992694323410066
BOPA1_871_462,2,106.4,NA,NA,NA,0.923694466009697
BOPA1_2464_1228,2,119.8,NA,NA,NA,0.457536012119555
BOPA2_12_30690,2,119.8,NA,NA,NA,0.721536672684951
SCRI_RS_139840,2,119.8,NA,NA,NA,0.721536672684951
SCRI_RS_209551,2,120.7,NA,NA,NA,0.721536672684951
SCRI_RS_142314,2,123.5,NA,NA,NA,0.866629086081096
SCRI_RS_198883,2,123.5,NA,NA,NA,0.759822749675937
SCRI_RS_106163,2,129.7,NA,NA,NA,0.721536672684951
SCRI_RS_161490,2,132.6,NA,NA,NA,0.797847661193568
BOPA2_12_10487,2,135.6,NA,NA,NA,0.736612081733301
BOPA2_12_10950,2,135.6,NA,NA,NA,0.736612081733301
SCRI_RS_172784,2,135.6,NA,NA,NA,0.736612081733301
SCRI_RS_204274,2,135.6,NA,NA,NA,0.721536672684951
SCRI_RS_234587,2,135.6,NA,NA,NA,0.736612081733301
SCRI_RS_44952,2,135.6,NA,NA,NA,0.721536672684951
SCRI_RS_152664,2,138.6,NA,NA,NA,0.721536672684951
SCRI_RS_156013,2,138.6,NA,NA,NA,0.721536672684951
SCRI_RS_174077,2,138.6,NA,NA,NA,0.721536672684951
SCRI_RS_194653,2,138.6,NA,NA,NA,0.721536672684951
SCRI_RS_116590,2,140.8,NA,NA,NA,0.214111727667114
SCRI_RS_172136,2,142.6,NA,NA,NA,0.246996438243239
SCRI_RS_73620,2,142.6,NA,NA,NA,0.246996438243239
SCRI_RS_170209,2,144.4,NA,NA,NA,0.227232874696926
SCRI_RS_139106,2,146.4,NA,NA,NA,0.292072047518291
SCRI_RS_139115,2,146.4,NA,NA,NA,0.292072047518291
SCRI_RS_142982,2,146.4,NA,NA,NA,0.292072047518291
SCRI_RS_139737,2,148.2,NA,NA,NA,0.343005341048962
