target_id	length	eff_length	est_counts	tpm
AT5G50110.1	1087	888	42	4.53709
AT5G50110.2	1146	947	0	0
AT3G03305.1	2493	2294	146.882	6.1421
AT5G66670.2	1632	1433	1.10148e-05	7.37344e-07
AT5G66670.4	1660	1461	96.9936	6.36846
AT5G66670.3	1973	1774	34.0064	1.83886
AT5G66670.1	1890	1691	0	0
AT4G08039.1	210	20.9285	0	0
AT2G38310.1	1439	1240	1503	116.273
AT2G26900.1	1906	1707	20	1.12393
AT5G23000.1	1399	1200	112	8.9532
AT1G66852.1	333	134	0	0
AT1G69810.2	1940	1741	4.09791	0.22579
AT1G69810.1	1593	1394	590.902	40.6625
AT1G72450.2	1786	1587	51.8579	3.13458
AT1G72450.1	1604	1405	1835.14	125.295
AT5G03560.3	1847	1648	200.001	11.6417
AT5G03560.4	1434	1235	36.416	2.82857
AT5G03560.1	1135	936	113.293	11.611
AT5G03560.2	2202	2003	10.2899	0.492802
AT4G27340.3	2046	1847	7.4599	0.387443
AT4G27340.2	1880	1681	0	0
AT4G27340.1	2220	2021	167.54	7.95232
AT1G76280.4	3218	3019	10.0226	0.318463
AT1G76280.2	3066	2867	0	0
AT1G76280.5	2985	2786	48.7926	1.68002
AT1G76280.3	2472	2273	0	0
AT1G76280.1	2889	2690	71.1848	2.5385
AT3G03272.1	781	582	6	0.988939
AT3G28960.1	1318	1119	0	0
AT3G28960.4	1270	1071	3	0.268703
AT3G28960.3	1501	1302	0	0
AT3G28960.2	1891	1692	0	0
AT3G28960.5	1730	1531	0	0
AT1G65630.1	1761	1562	0	0
AT3G10210.1	1187	988	220.246	21.3842
AT4G27830.2	1601	1402	120.843	8.26829
AT4G27830.1	1842	1643	184.071	10.747
AT1G71390.2	2575	2376	0	0
AT1G71390.1	2453	2254	1	0.0425586
AT5G46260.1	4166	3967	8	0.19345
AT2G32710.2	1482	1283	270.4	20.2172
AT2G32710.1	2391	2192	24.5998	1.07654
AT5G27680.2	3588	3389	0	0
AT5G27680.3	3487	3288	0	0
AT5G27680.5	3205	3006	0.885249	0.02825
AT5G27680.4	3382	3183	41.7202	1.25734
AT5G27680.1	3492	3293	0.0390114	0.00113643
AT5G27680.6	3178	2979	33.3555	1.07408
AT4G19380.1	2367	2168	7	0.309728
AT4G19380.2	2513	2314	0	0
AT5G61960.2	3723	3524	0	0
AT5G61960.10	3410	3211	770.121	23.007
AT5G61960.5	3711	3512	0	0
AT5G61960.9	3495	3296	31.6923	0.922376
AT5G61960.6	3632	3433	0	0
AT5G61960.11	3391	3192	112.436	3.37898
AT5G61960.1	4032	3833	597.751	14.9597
AT5G61960.3	3816	3617	0	0
AT5G61960.8	3530	3331	0	0
AT5G61960.4	3725	3526	0	0
AT5G61960.7	3607	3408	0	0
AT4G29180.2	3108	2909	17.1239	0.564678
AT4G29180.1	2939	2740	0	0
AT4G29180.3	3117	2918	97.8761	3.2176
AT3G09680.1	661	462	2.00744	0.416813
AT1G56233.1	335	136	0	0
AT1G15210.1	4849	4650	3068.06	63.2925
AT3G63470.1	1872	1673	55	3.15361
AT2G16970.1	1520	1321	0	0
AT2G16970.8	1236	1037	5.66631e-07	5.24159e-08
AT2G16970.6	1282	1083	0.156666	0.0138768
AT2G16970.3	1569	1370	4.54314	0.318109
AT2G16970.7	1682	1483	0	0
AT2G16970.4	1556	1357	0	0
AT2G16970.2	1640	1441	20.3002	1.35138
AT2G16970.5	1319	1120	0	0
AT1G15250.1	642	443	0	0
AT1G15250.2	626	427	70	15.7258
AT1G79700.2	1154	955	19.6481	1.9736
AT1G79700.3	1241	1042	0	0
AT1G79700.1	1082	883	6.53253	0.709679
AT1G79700.4	868	669	4.81938	0.691045
AT2G46620.1	2081	1882	1329	67.7402
AT3G46920.1	3477	3278	163.833	4.7944
AT3G46920.2	3633	3434	286.167	7.99393
AT2G43750.2	1497	1298	242.147	17.8956
AT2G43750.1	1664	1465	17.5449	1.14883
AT1G62895.1	261	62.0706	0	0
AT2G24490.2	1897	1698	12.3884	0.699872
AT2G24490.1	1473	1274	19.5154	1.46943
AT3G57080.1	1427	1228	50	3.90583
AT3G13820.1	1396	1197	0	0
AT2G15080.2	3309	3110	1	0.0308447
AT2G15080.1	3639	3440	0	0
AT1G73360.1	3506	3307	5	0.145036
AT1G16360.1	1203	1004	0	0
AT1G16360.4	1368	1169	0	0
AT1G16360.5	1338	1139	0	0
AT1G16360.3	1459	1260	0	0
AT1G16360.2	1297	1098	35	3.05779
AT1G10225.1	535	336	0	0
AT3G49770.1	904	705	0	0
AT4G31660.1	1173	974	0	0
AT1G26670.1	1219	1020	274	25.7687
AT1G34855.1	576	377	0	0
AT1G52200.1	1425	1226	3769.39	294.932
AT1G52200.2	1366	1167	1011.61	83.1542
AT1G57800.2	2119	1920	0	0
AT1G57800.1	2107	1908	0	0
AT4G23200.1	2432	2233	0	0
AT4G23200.2	2334	2135	5	0.224654
AT1G69460.1	1107	908	239	25.2495
AT1G04310.2	2464	2265	102	4.3199
AT1G04310.1	2572	2373	0	0
AT1G08080.1	924	725	12	1.58776
AT2G37678.1	977	778	55	6.78148
AT2G37678.2	1008	809	0	0
AT3G56070.2	961	762	0	0
AT3G56070.1	1102	903	118	12.5353
AT5G15420.1	605	406	1	0.236274
AT5G06020.1	456	257	0	0
AT3G15251.1	114	4.78619	0	0
AT1G75550.2	920	721	0	0
AT1G75550.1	777	578	0	0
AT1G71890.1	1863	1664	0	0
AT1G05430.1	1176	977	252	24.7427
AT4G29810.3	1485	1286	37.5437	2.80051
AT4G29810.1	1571	1372	605.812	42.357
AT4G29810.2	1441	1242	441.644	34.1109
AT3G02780.1	1890	1691	407.349	23.1081
AT3G02780.2	1297	1098	197.229	17.231
AT4G26560.1	759	560	28	4.79636
AT1G80870.1	2500	2301	60	2.50136
AT4G23670.1	1121	922	44	4.57787
AT2G46225.3	1232	1033	8.26016	0.76706
AT2G46225.2	1403	1204	5.05026	0.402373
AT2G46225.1	1310	1111	91.6896	7.91676
AT5G18730.1	2407	2208	0	0
AT5G67570.1	2471	2272	241	10.1754
AT1G75310.1	4550	4351	211.808	4.66975
AT1G75310.2	4728	4529	1365.19	28.9156
AT5G29054.1	102	4.33389	0	0
AT2G27700.2	1443	1244	0.0600809	0.00463295
AT2G27700.1	1440	1241	0.939919	0.0726541
AT1G02010.4	2640	2441	0.000519431	2.04127e-05
AT1G02010.6	1961	1762	0	0
AT1G02010.1	2803	2604	0	0
AT1G02010.5	2634	2435	54.3031	2.13928
AT1G02010.2	2161	1962	35.6964	1.74529
AT1G02010.3	2705	2506	0	0
AT1G47900.1	3757	3558	122.287	3.29697
AT1G47900.3	3452	3253	73.6908	2.17306
AT1G47900.2	3385	3186	0.0222528	0.000670008
AT5G57625.1	935	736	2	0.260672
AT4G02725.1	2686	2487	35.2746	1.36059
AT4G02725.2	2898	2699	38.2154	1.35824
AT1G14315.2	912	713	0	0
AT1G14315.1	672	473	0	0
AT5G66440.1	1258	1059	45	4.07622
AT4G35440.2	2661	2462	0	0
AT4G35440.1	2561	2362	3.32989	0.135236
AT3G52460.1	1366	1167	33	2.71259
AT4G26240.1	1288	1089	187.366	16.5046
AT3G55380.2	997	798	60.8448	7.31412
AT3G55380.1	1345	1146	69.1552	5.78871
AT2G16953.1	195	14.9308	0	0
AT2G22320.1	336	137	0	0
AT1G26760.1	1792	1593	0	0
AT1G05250.1	1492	1293	41	3.04177
AT3G44560.1	1755	1556	0	0
AT3G44560.2	1920	1721	0	0
AT3G44560.3	1864	1665	0	0
AT1G67260.3	1685	1486	0	0
AT1G67260.2	1751	1552	0	0
AT1G67260.1	1080	881	0	0
AT4G31950.1	1650	1451	2510	165.939
AT5G51680.1	1455	1256	193.795	14.8011
AT4G10925.1	1213	1014	57.2063	5.41187
AT4G10925.5	1221	1022	50.6797	4.7569
AT4G10925.4	1325	1126	13.6339	1.16151
AT4G10925.2	1210	1011	34.4801	3.27159
AT4G10925.3	1192	993	0	0
AT3G56520.1	528	329	0	0
AT1G24575.1	732	533	14	2.51966
AT4G31690.1	892	693	1	0.138423
AT1G12790.1	1527	1328	29	2.09479
AT4G34640.1	1902	1703	266.727	15.0243
AT4G34640.2	1558	1359	103.273	7.28968
AT4G03340.2	1893	1694	0	0
AT4G03340.1	2100	1901	223	11.2529
AT2G37260.1	1856	1657	209.518	12.1294
AT2G37260.2	1290	1091	76.5286	6.72885
AT2G37260.3	1438	1239	4.95365	0.383526
AT5G54610.1	1669	1470	0	0
AT3G27970.1	1360	1161	0	0
AT4G13550.1	2651	2452	64.4115	2.51991
AT4G13550.3	2917	2718	14.8247	0.523212
AT4G13550.2	2821	2622	75.7638	2.77185
AT1G04850.1	1669	1470	686.255	44.7826
AT1G04850.2	1665	1466	5.74476	0.375906
AT5G20560.1	1156	957	13	1.30309
AT3G17420.1	2063	1864	1016	52.2865
AT3G08780.1	1363	1164	132.992	10.9601
AT3G08780.2	1498	1299	19.008	1.40368
AT1G31760.1	1434	1235	21	1.63115
AT5G65470.1	2166	1967	6857	334.404
AT1G33250.1	2419	2220	514	22.2102
AT1G74000.1	1340	1141	350	29.4255
AT3G55660.1	2155	1956	0	0
AT3G55660.2	2221	2022	0	0
AT4G15562.1	674	475	0	0
AT3G48480.1	1349	1150	59	4.92148
AT5G66420.3	1989	1790	36.4709	1.9545
AT5G66420.1	2749	2550	60.8291	2.2883
AT5G66420.2	2675	2476	81.7	3.16528
AT3G02740.1	1742	1543	211.222	13.1315
AT3G02740.2	1974	1775	39.7783	2.14976
AT1G55580.1	1980	1781	10	0.538614
AT1G53903.1	876	677	494	69.997
AT3G63400.1	2084	1885	1285	65.393
AT3G63400.4	2138	1939	313.041	15.4869
AT3G63400.3	2103	1904	473.964	23.8792
AT3G63400.2	1535	1336	0	0
AT1G19715.1	2130	1931	71	3.5271
AT1G19715.2	2128	1929	0	0
AT1G19715.3	1925	1726	0	0
AT5G62750.1	896	697	4	0.550514
AT2G04031.1	624	425	0	0
AT3G06130.2	1643	1444	1.3163	0.0874441
AT3G06130.1	2080	1881	94.6837	4.82867
AT5G50000.2	1957	1758	11.0822	0.604709
AT5G50000.1	1760	1561	51.9178	3.19047
AT1G69430.1	1660	1461	286	18.7783
AT1G53340.3	2149	1950	0	0
AT1G53340.2	2243	2044	0	0
AT1G53340.1	2112	1913	18	0.902607
ATCG00160.1	711	512	8	1.49886
AT3G05660.1	3191	2992	26	0.833591
AT2G16130.1	1878	1679	0	0
AT5G63820.1	678	479	3	0.600796
AT3G17140.1	339	140	0	0
AT3G24110.1	967	768	6	0.749431
AT3G24110.2	1048	849	0	0
AT1G29890.3	2440	2241	25.1798	1.07783
AT1G29890.1	1906	1707	74.8202	4.20462
AT1G29890.2	1901	1702	0	0
AT2G47560.1	1012	813	84	9.91129
AT4G28600.3	2942	2743	188.492	6.59185
AT4G28600.2	3064	2865	14.8727	0.497975
AT4G28600.1	2927	2728	1381.64	48.5837
AT1G80290.2	1070	871	18.8669	2.0779
AT1G80290.1	1904	1705	6.13309	0.345062
AT1G56540.1	3559	3360	56	1.59879
AT1G56540.2	3684	3485	0	0
AT2G37390.1	1580	1381	0	0
AT2G37390.2	978	779	0	0
AT2G06050.3	1264	1065	5795.65	522.028
AT2G06050.1	1563	1364	4594.34	323.11
AT2G06050.2	1510	1311	1084.01	79.3182
AT3G20920.1	1338	1139	225	18.9496
AT3G20920.2	1335	1136	0	0
AT5G26220.1	1131	932	29	2.98486
AT5G26220.2	1152	953	0	0
AT3G54830.1	1775	1576	1.72686e-05	1.05109e-06
AT3G54830.2	1758	1559	3.99998	0.246124
AT3G09190.1	1489	1290	0	0
AT3G05545.1	2138	1939	995	49.2251
AT1G48650.2	3897	3698	1.97928e-07	5.1343e-09
AT1G48650.1	4303	4104	290	6.77848
AT4G27400.1	1306	1107	1	0.086655
AT2G35250.1	1038	839	0	0
AT5G15730.1	1650	1451	0.00103863	6.86651e-05
AT5G15730.2	1790	1591	866.999	52.2745
AT5G15730.3	1941	1742	0	0
AT1G22670.1	1288	1089	5	0.440437
AT1G07030.1	1493	1294	170	12.6025
AT5G61930.2	1964	1765	25.2761	1.37375
AT5G61930.1	2511	2312	3.90063	0.161841
AT4G27260.1	2357	2158	367	16.3138
AT1G69860.1	1668	1469	0	0
AT1G10120.1	2262	2063	78.0595	3.62967
AT1G10120.2	1522	1323	4.94054	0.358225
AT5G08760.1	471	272	9	3.17406
AT2G38390.1	1387	1188	1.04764	0.0845931
AT1G43650.2	1460	1261	0	0
AT1G43650.1	1382	1183	42	3.4057
AT3G26470.1	1620	1421	2089.9	141.082
AT1G09960.1	2217	2018	532	25.289
AT4G27370.3	3740	3541	64.9877	1.76054
AT4G27370.4	3651	3452	0.0121989	0.000338994
AT4G27370.1	3442	3243	0.000120812	3.57358e-06
AT4G27370.2	3827	3628	0	0
AT2G25250.1	1334	1135	4102	346.69
AT5G42110.1	575	376	10	2.55125
AT1G51990.2	1092	893	0	0
AT1G51990.1	1092	893	0	0
AT5G23030.1	1572	1373	1.13377	0.0792131
AT3G51100.3	991	792	118.857	14.396
AT3G51100.1	1183	984	130.088	12.6819
AT3G51100.2	926	727	17.0547	2.25035
AT3G29580.1	921	722	1	0.132863
AT3G28370.5	1725	1526	0	0
AT3G28370.3	1288	1089	27.3967	2.4133
AT3G28370.2	1722	1523	3.6003	0.226767
AT3G28370.1	879	680	18.294	2.58073
AT3G28370.4	764	565	2.11078	0.358374
AT2G15710.1	1098	899	0	0
AT5G20250.2	2912	2713	34.0347	1.20341
AT5G20250.4	2753	2554	478.891	17.9869
AT5G20250.1	3011	2812	85.7218	2.92427
AT5G20250.3	2846	2647	42.3524	1.53485
AT4G21470.1	1445	1246	310	23.8663
AT4G05220.1	797	598	4.00167	0.641921
AT4G04730.1	423	224	0	0
AT2G33520.1	630	431	0	0
AT1G53625.1	660	461	2936	610.937
AT1G63360.1	3838	3639	0	0
AT1G63360.2	2976	2777	0	0
AT1G33330.2	1156	957	37.5624	3.76516
AT1G33330.3	1107	908	0	0
AT1G33330.1	998	799	17.4376	2.09354
AT3G26840.1	2306	2107	2551	116.141
AT1G74929.1	102	4.33389	0	0
AT3G29010.1	1222	1023	28.4958	2.67206
AT3G29010.2	1076	877	6.06924	0.663859
AT3G29010.5	1030	831	29.2771	3.37963
AT3G29010.3	1391	1192	14.1065	1.13523
AT3G29010.6	736	537	28.0513	5.01095
AT3G29010.4	1298	1099	0	0
AT3G10450.1	1594	1395	11	0.756415
AT3G10450.3	1768	1569	0	0
AT3G10450.2	1677	1478	0	0
AT3G10450.4	1685	1486	0	0
AT4G12485.1	32	2.85918	0	0
AT4G34800.1	729	530	1	0.180995
AT4G28340.1	1122	923	2	0.207859
AT1G63430.1	2761	2562	122	4.56796
AT1G63430.2	2847	2648	0	0
AT1G63430.3	2551	2352	92	3.75225
AT3G14510.1	1424	1225	0	0
AT1G80720.2	1134	935	0	0
AT1G80720.1	1070	871	47	5.17632
AT1G69770.1	3066	2867	144	4.8181
AT1G08460.1	1715	1516	95.6645	6.05331
AT1G08460.2	2374	2175	146.336	6.45404
AT1G78710.1	1149	950	0	0
AT1G78710.2	1146	947	5.49165	0.556281
AT4G03820.2	1794	1595	9.5284	0.573061
AT4G03820.1	1704	1505	250.832	15.9878
AT4G03820.3	1737	1538	45.5938	2.84374
AT4G03820.4	1833	1634	1.04551	0.0613788
AT3G28930.3	899	700	61.0352	8.36419
AT3G28930.2	1084	885	0	0
AT3G28930.1	1003	804	0	0
AT3G52950.2	2112	1913	430.261	21.5754
AT3G52950.1	2292	2093	476.739	21.8501
AT2G26330.1	3985	3786	2	0.0506747
AT1G08610.1	2143	1944	111	5.47732
AT3G57620.1	1769	1570	0	0
AT5G08070.1	1328	1129	0	0
AT5G08070.2	729	530	1	0.180995
AT1G17540.1	2819	2620	12	0.439361
AT2G39280.1	2748	2549	140.34	5.28143
AT2G39280.2	2846	2647	94.6605	3.43049
AT1G27380.3	1122	923	0	0
AT1G27380.4	907	708	0	0
AT1G27380.2	639	440	0.5	0.109008
AT1G27380.1	991	792	13.5	1.63512
AT1G58643.2	1707	1508	5.43309	0.345611
AT1G58643.1	1569	1370	0.0669062	0.00468476
AT5G08450.2	3369	3170	365.52	11.061
AT5G08450.1	3332	3133	192.837	5.90433
AT5G08450.3	3083	2884	1202.64	40.0021
AT5G14030.3	994	795	0	0
AT5G14030.4	885	686	0.0291183	0.00407177
AT5G14030.1	1615	1416	29.4782	1.997
AT5G14030.5	1738	1539	24.496	1.52686
AT5G14030.2	880	681	120.997	17.0439
AT1G48953.1	650	451	0	0
AT5G66080.1	1908	1709	1206.47	67.7196
AT5G66080.2	1017	818	439.534	51.5443
AT2G47730.1	1739	1540	1317.38	82.0603
AT2G47730.2	1748	1549	515.616	31.9313
AT2G02310.1	1250	1051	1524	139.099
AT4G11020.1	568	369	0	0
AT3G50670.2	2424	2225	1026.74	44.2662
AT3G50670.1	1792	1593	482.26	29.0407
AT1G51440.1	1956	1757	0	0
AT2G07719.1	1520	1321	7.66538	0.556637
AT1G18871.1	177	10.528	0	0
AT1G25210.2	1345	1146	9.47946	0.793488
AT1G25210.1	1194	995	0	0
AT1G21610.6	2731	2532	0	0
AT1G21610.1	2574	2375	264.609	10.6876
AT1G21610.4	3012	2813	72.6828	2.47858
AT1G21610.5	2887	2688	87.3526	3.11737
AT1G21610.3	2531	2332	0	0
AT1G21610.2	2640	2441	108.356	4.2582
AT5G05340.1	1304	1105	2462	213.731
AT5G45440.1	1559	1360	27	1.90444
AT4G05110.1	1677	1478	14.5576	0.944839
AT4G05110.3	1766	1567	0	0
AT4G05110.2	2248	2049	0	0
AT5G25380.4	1332	1133	1	0.0846665
AT5G25380.1	1851	1652	0	0
AT5G25380.2	1931	1732	0	0
AT5G25380.3	1563	1364	0	0
AT3G44080.1	1164	965	0	0
AT1G79710.3	1458	1259	21.2395	1.6183
AT1G79710.1	1854	1655	70.7605	4.10142
AT1G79710.2	1751	1552	0	0
AT5G56920.1	938	739	2	0.259613
AT5G38000.3	1263	1064	2	0.180314
AT5G38000.2	1286	1087	0	0
AT5G38000.1	1390	1191	0	0
AT5G15050.1	1823	1624	60	3.54411
AT3G50370.1	7163	6964	578.569	7.96962
AT3G50370.2	7367	7168	878.431	11.7558
AT1G80840.1	1325	1126	30793	2623.34
AT5G53670.1	735	536	0	0
ATMG00440.1	459	260	0	0
AT2G23160.1	1275	1076	2	0.178303
AT4G29940.2	2841	2642	25.9325	0.941572
AT4G29940.1	2897	2698	205.067	7.29115
AT4G23640.1	2965	2766	418	14.4966
AT3G09550.2	2096	1897	0	0
AT3G09550.3	2535	2336	0	0
AT3G09550.1	2285	2086	1	0.0459862
AT3G07568.1	528	329	65	18.9522
AT5G44630.1	2191	1992	1	0.0481562
AT2G40900.1	1782	1583	34	2.06034
AT2G39140.1	1594	1395	62.7509	4.31506
AT2G39140.2	1305	1106	5.24913	0.455275
AT5G05950.1	1255	1056	40.5435	3.68298
AT3G48670.3	2450	2251	69.6182	2.9668
AT3G48670.1	2475	2276	0.000239447	1.0092e-05
AT3G48670.2	2353	2154	109.362	4.87036
AT5G63810.1	2608	2409	10	0.398203
AT5G02340.1	1896	1697	6.86958	0.38832
AT4G32470.1	945	746	412	52.9785
AT4G32470.2	891	692	0	0
AT3G11270.1	1507	1308	128.328	9.41139
AT3G11270.2	1360	1161	63.6724	5.2609
AT2G46440.2	2648	2449	0	0
AT2G46440.1	2569	2370	6.15467	0.249114
AT2G17630.1	1518	1319	16	1.16363
AT2G21105.1	12	2.60424	0	0
AT5G24100.1	2397	2198	1	0.0436429
AT4G29330.1	1470	1271	216.69	16.3544
AT4G29330.2	1341	1142	8.3102	0.69805
AT2G15470.1	1215	1016	0	0
AT2G47790.1	1398	1199	91	7.28054
AT1G71300.1	2244	2045	0	0
AT1G71300.2	2106	1907	3	0.150908
AT5G48545.1	1619	1420	55.2032	3.72921
AT5G48545.2	2129	1930	2.79685	0.139012
AT5G48545.3	1712	1513	0	0
AT1G49490.1	2685	2486	1	0.0385869
AT1G49490.2	2952	2753	0	0
AT1G23645.2	415	216	1	0.444107
AT1G23645.1	698	499	0	0
AT3G08530.1	5722	5523	2649.77	46.023
AT1G09795.1	1516	1317	20	1.45675
AT2G19190.1	2700	2501	1728	66.2783
AT5G56950.1	1688	1489	556	35.8197
AT3G22380.3	5673	5474	680.704	11.9287
AT3G22380.2	5487	5288	977.031	17.7239
AT3G22380.1	5757	5558	183.265	3.16302
AT2G41835.1	1438	1239	219	16.9556
AT4G23590.1	1563	1364	1	0.0703278
AT3G05140.1	2124	1925	0	0
AT3G05140.2	2000	1801	1	0.0532633
AT1G48690.1	1073	874	6	0.658539
AT4G35620.1	1673	1474	0	0
AT4G35620.2	1742	1543	0	0
AT3G29750.1	1266	1067	0	0
AT1G49570.1	1509	1310	0	0
AT3G54500.5	2283	2084	416.571	19.1749
AT3G54500.3	2333	2134	0	0
AT3G54500.1	2330	2131	1079.66	48.6011
AT3G54500.4	2452	2253	192.107	8.17944
AT3G54500.7	2147	1948	130.974	6.44965
AT3G54500.8	2067	1868	77.922	4.00152
AT3G54500.2	2522	2323	31.6516	1.30704
AT3G54500.6	2246	2047	56.1131	2.62959
AT2G45130.1	916	717	264	35.3204
AT1G68470.1	1753	1554	361	22.2842
AT5G58400.1	1224	1025	0	0
AT2G39110.2	1894	1695	475.257	26.8968
AT2G39110.1	1748	1549	4109.74	254.51
AT5G39510.1	1207	1008	774	73.6583
AT4G32660.3	1552	1353	225.032	15.9546
AT4G32660.2	1698	1499	65.6992	4.20436
AT4G32660.1	1788	1589	144.657	8.73287
AT4G32660.4	1673	1474	326.612	21.2557
AT1G75580.1	934	735	2	0.261026
AT5G23090.1	1186	987	9.39052	0.91267
AT5G23090.2	1145	946	0	0
AT5G23090.4	1028	829	142.783	16.522
AT5G23090.3	755	556	33.1592	5.72099
AT5G23090.5	1069	870	18.6671	2.05826
AT5G45920.3	1263	1064	0	0
AT5G45920.4	1162	963	4	0.398451
AT5G45920.1	1238	1039	0	0
AT5G45920.2	1339	1140	0	0
AT3G52760.1	1180	981	47	4.5959
AT5G52750.1	757	558	12092.8	2078.9
AT5G52750.2	880	681	240.25	33.8422
AT5G18830.2	2876	2677	74.665	2.67553
AT5G18830.1	3081	2882	347.128	11.5541
AT5G18830.3	2788	2589	59.2069	2.19372
AT3G27460.4	1328	1129	65.5281	5.56769
AT3G27460.3	1567	1368	14.9358	1.04733
AT3G27460.5	1051	852	0	0
AT3G27460.2	1338	1139	25.6194	2.15768
AT3G27460.1	1349	1150	28.9167	2.41209
AT2G38910.1	2432	2233	0	0
AT3G62780.1	1277	1078	27	2.40263
AT3G28210.1	1026	827	1331.22	154.414
AT3G28210.2	1105	906	8.77668	0.929273
AT3G47675.1	639	440	0	0
AT2G44360.1	643	444	114	24.6299
AT5G50720.1	716	517	17	3.15428
AT2G36060.2	960	761	252.807	31.8674
AT2G36060.1	1020	821	174.193	20.353
AT2G36060.3	954	755	0	0
AT1G26400.1	1584	1385	0	0
AT4G19470.1	1254	1055	0	0
AT4G04360.1	603	404	8	1.89955
AT3G25060.1	2032	1833	87	4.55301
AT2G07684.1	111	4.6639	0	0
AT1G72980.1	907	708	0	0
AT5G51840.1	1468	1269	105	7.93723
AT4G17490.1	1338	1139	17397	1465.18
AT1G59970.1	1580	1381	110	7.64083
AT2G32950.1	2474	2275	186.986	7.88442
AT2G32950.2	2401	2202	137.014	5.96881
AT3G26240.1	3305	3106	12.7339	0.393278
AT3G04860.1	1714	1515	25	1.58296
AT1G11520.1	591	392	0	0
AT2G24420.2	1904	1705	112.47	6.3278
AT2G24420.1	2010	1811	394.53	20.8979
AT1G30640.1	2332	2133	1747.9	78.6083
AT1G30640.3	1823	1624	494.655	29.2185
AT1G30640.2	2636	2437	213.44	8.40161
AT2G40950.1	2654	2455	490	19.1463
AT5G21930.1	3179	2980	0	0
AT5G21930.4	3310	3111	60.3364	1.86046
AT5G21930.3	2880	2681	0.00235574	8.42893e-05
AT5G21930.2	3041	2842	123.661	4.17399
AT1G26440.2	1828	1629	0.00442613	0.000260642
AT1G26440.3	1536	1337	479.928	34.4339
AT1G26440.8	1612	1413	172.011	11.6776
AT1G26440.4	1286	1087	4.32307	0.381508
AT1G26440.7	1900	1701	0.0149056	0.000840595
AT1G26440.6	1700	1501	53.842	3.44098
AT1G26440.1	1365	1166	7.58351	0.623897
AT1G26440.5	1772	1573	91.2931	5.56737
AT1G51320.1	1128	929	0	0
AT5G24240.2	2380	2181	0	0
AT5G24240.1	2244	2045	32	1.50106
AT1G22070.1	1991	1792	953	51.0148
AT4G25310.2	1288	1089	3	0.264262
AT4G25310.1	1950	1751	0	0
AT1G26700.2	1733	1534	3	0.187602
AT1G26700.1	2239	2040	0	0
AT3G55990.1	2001	1802	8	0.42587
AT3G43940.1	609	410	0	0
AT5G27607.1	573	374	0	0
AT2G40750.1	1432	1233	4	0.311199
