SNP,Chromosome,Position,DF,t Value,std Error,effect
SCRI_RS_129223,2,88.5,NA,NA,NA,0.770677360385593
SCRI_RS_135112,2,88.5,NA,NA,NA,0.770677360385593
SCRI_RS_144778,2,88.5,NA,NA,NA,0.770677360385593
SCRI_RS_222876,2,88.5,NA,NA,NA,0.770677360385593
BOPA1_111_499,2,106.4,NA,NA,NA,1
BOPA1_3180_1771,2,106.4,NA,NA,NA,1
BOPA1_871_462,2,106.4,NA,NA,NA,0.938643892975029
BOPA1_2464_1228,2,119.8,NA,NA,NA,0.59195433440249
BOPA2_12_30690,2,119.8,NA,NA,NA,0.735150572169572
SCRI_RS_139840,2,119.8,NA,NA,NA,0.735150572169572
SCRI_RS_209551,2,120.7,NA,NA,NA,0.735150572169572
SCRI_RS_142314,2,123.5,NA,NA,NA,0.85622657476641
SCRI_RS_198883,2,123.5,NA,NA,NA,0.796784595159372
SCRI_RS_106163,2,129.7,NA,NA,NA,0.735150572169572
SCRI_RS_161490,2,132.6,NA,NA,NA,0.797847661193568
BOPA2_12_10487,2,135.6,NA,NA,NA,0.749535100711078
BOPA2_12_10950,2,135.6,NA,NA,NA,0.749535100711078
SCRI_RS_172784,2,135.6,NA,NA,NA,0.749535100711078
SCRI_RS_204274,2,135.6,NA,NA,NA,0.735150572169572
SCRI_RS_234587,2,135.6,NA,NA,NA,0.749535100711078
SCRI_RS_44952,2,135.6,NA,NA,NA,0.735150572169572
SCRI_RS_152664,2,138.6,NA,NA,NA,0.735150572169572
SCRI_RS_156013,2,138.6,NA,NA,NA,0.735150572169572
SCRI_RS_174077,2,138.6,NA,NA,NA,0.735150572169572
SCRI_RS_194653,2,138.6,NA,NA,NA,0.735150572169572
SCRI_RS_116590,2,140.8,NA,NA,NA,0.214111727667114
SCRI_RS_172136,2,142.6,NA,NA,NA,0.246996438243239
SCRI_RS_73620,2,142.6,NA,NA,NA,0.246996438243239
SCRI_RS_170209,2,144.4,NA,NA,NA,0.227232874696926
SCRI_RS_139106,2,146.4,NA,NA,NA,0.283958935087227
SCRI_RS_139115,2,146.4,NA,NA,NA,0.283958935087227
SCRI_RS_142982,2,146.4,NA,NA,NA,0.283958935087227
SCRI_RS_139737,2,148.2,NA,NA,NA,0.343005341048962
